Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,staging2-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging2-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.staging2-revamp.sleekflow.io.txt
http,80,staging2.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging2.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.staging2.sleekflow.io.txt
http,80,staging-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.staging-revamp.sleekflow.io.txt
http,80,staging.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.staging.sleekflow.io.txt
http,80,status.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.status.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.status.sleekflow.io.txt
http,80,trial.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.trial.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.trial.sleekflow.io.txt
http,80,uat2.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.uat2.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.uat2.sleekflow.io.txt
http,80,uat3.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.uat3.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.uat3.sleekflow.io.txt
http,80,uat-dev.sleekflow.io,BadStatus,/home/kali/Projects/enum/screens/screens/http.uat-dev.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.uat-dev.sleekflow.io.txt
http,80,uat-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.dev-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.uat-revamp.sleekflow.io.txt
http,80,ui.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.ui.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.ui.sleekflow.io.txt
http,80,v1-dev.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.v1-dev.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.v1-dev.sleekflow.io.txt
http,80,v1.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.v1.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.v1.sleekflow.io.txt
http,80,v1-staging.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.v1-staging.sleekflow.io.txt
http,80,www.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.www.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.www.sleekflow.io.txt
http,80,travis.asia,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.travis.asia.txt
http,80,app.travis.asia,BadStatus,/home/kali/Projects/enum/screens/screens/http.app.travis.asia.png,/home/kali/Projects/enum/screens/source/http.app.travis.asia.txt
